"Arica"	"Cuya"	"Iquique"	"Pozo Almonte"	"Lagunas"	"Toconao"	"Calama"	"Chuquicamata"	"María Elena"	"Tocopilla"	"Mejillones"	"Antofagasta"	"Taltal"	"Diego de Almagro"	"Caldera"	"Copiapó"	"Tierra Amarilla"	"Vallenar"	"Huasco"	"Chanaral"	"Pichilemu"	"Vicuña"	"La Serena"	"Coquimbo"	"Ovalle"	"Combarbalá"	"Illapel"	"Salamanca"	"San Antonio"	"Valparaíso"	"Viña del Mar"	"Quillota"	"La Ligua"	"San Felipe"	"Los Andes"	"Santiago"	"San Bernardo"	"Rancagua"	"San Fernando"	"Curicó"	"Talca"	"Linares"	"Cauquenes"	"Quirihue"	"Chillán"	"Constitución"	"Talcahuano"	"Concepción"	"Coronel"	"Lota"	"Curanilahue"	"Lebu"	"Santa Bárbara"	"Los Angeles"	"Angol"	"Collipulli"	"Victoria"	"Carahue"	"Nueva Imperial"	"Temuco"	"Villarica"	"Loncoche"	"Toltén"	"Valdivia"	"Los Lagos"	"La Unión"	"Río Bueno"	"Osorno"	"Puerto Varas"	"Puerto Montt"	"Calbuco"	"Ancud"	"Castro"	"Chonchi"	"Quellón"	"Lonquimay"	"Puerto Aisén"	"Coihaique"	"Cochrane"	"Villa O'Higgins"	"Puerto Natales"	"Río Verde"	"Punta Arenas"	"Puerto Williams"
"Mejillones"	511.766777882343	444.138741662554	318.625456359602	321.810299805121	248.317685892465	248.977810540615	172.712249029199	178.410744942855	115.562153437522	115.435037854588	0	61.3697738313516	255.756367459375	365.799428269258	443.054101066057	473.819496054966	487.333335758306	609.025985701016	602.022897153107	666.601192829663	1263.29396977372	771.063714090506	760.296301905449	767.16562397984	836.159841650805	900.096951959817	951.100740175675	966.53877040167	1172.96790732543	1112.06760567773	1109.30924228203	1090.37774736877	1043.67046654246	1073.35745242327	1081.98200704669	1151.06266497812	1167.80167050749	1231.25125080424	1277.59399120892	1323.21095233524	1378.86149274415	1420.88095681006	1441.2727347749	1479.13832853187	1509.52549046608	1373.14527818293	1535.566632075	1546.91937327219	1570.531407003	1577.05296042099	1622.62722414576	1642.0367060269	1627.01775741	1607.14651404003	1647.59844665326	1663.07922050121	1692.99655943017	1754.74179027775	1755.28179738373	1749.66199470367	1806.97233063022	1820.80795054197	1810.99143150236	1874.95437895227	1875.8791426454	1927.42868261839	1931.40747521125	1959.09045992561	2040.85848123161	2055.66074587455	2089.05834269338	2110.59323092116	2176.69928714632	2191.50330479687	2242.68047156335	1706.60665502896	2487.98263930686	2502.83662045563	2693.68571551979	2826.92464569711	3187.11302628749	3286.94459636778	3343.33190993774	3547.49682066265
"Antofagasta"	572.767486571986	504.835193269308	379.08642979482	380.940034427847	305.591844134239	248.675669596027	201.827008871681	210.982184853899	162.721568597802	174.793171929925	61.3697738313516	0	194.719913201587	304.454827464483	382.687813690464	412.57709612956	426.046536178873	548.257384561318	542.132282870783	606.958833312395	1203.16598367561	710.168203768902	700.063391948615	707.068929344248	775.736019356052	839.384287636743	890.51755209276	905.765958436733	1112.58979030464	1051.76809711421	1048.93375777518	1029.76541963976	983.07642594098	1012.35773138231	1020.91220642889	1090.02085708835	1106.77507764304	1170.23616849876	1216.70335436747	1262.45151025812	1318.35196051111	1360.28994578457	1381.19337301724	1419.18129395954	1449.21206005535	1313.24720477762	1476.02606937885	1487.29896318837	1510.96520772801	1517.47508820975	1563.12202711605	1582.76501807165	1566.55597168412	1546.914982158	1587.56490563876	1602.84078192535	1632.67590888801	1694.89817943681	1695.29384757487	1689.43778458976	1746.50770854737	1760.55088402793	1751.10419723003	1815.01128056139	1815.68783690219	1867.33696155404	1871.23902676059	1899.0074066389	1980.61352250513	1995.37495224887	2028.84979669412	2050.7238604716	2116.72290124866	2131.53626582496	2182.56309034995	1645.72165969521	2427.37159691332	2442.03679759802	2632.962434935	2766.16749164802	3126.26685672756	3225.91800793448	3282.23365717277	3486.15383866677
"Taltal"	767.469146163805	699.528458215194	573.711979477315	574.587425162061	497.69247361502	350.130417350085	363.883625244966	376.574623896857	348.759750504499	369.156426655596	255.756367459375	194.719913201587	0	115.712125529934	189.091095507726	218.326396750774	232.057641665458	353.6567509138	349.324398644979	414.64385644218	1009.32141436872	515.461900151253	506.23529088529	513.509320980589	581.531105121889	644.795019337759	696.061965762672	711.121261442468	918.371628925392	857.679473478665	854.730629345947	835.259744589835	788.595914801996	817.642798914961	826.230086830526	895.321824245603	912.069148618881	975.526206753388	1021.99191084615	1067.80300197487	1123.93855068541	1165.78366894122	1187.39440971345	1225.58397209043	1255.04257086895	1119.77936959607	1283.19632134409	1294.30909105133	1318.07486997899	1324.56009813585	1370.33796962731	1390.44984406729	1372.18292320769	1352.85394967064	1393.80950382037	1408.76402022692	1438.48016501124	1501.45155087027	1501.59963260367	1495.37395769906	1552.12201059317	1566.4340680391	1557.57327738495	1621.37728403463	1621.66184467875	1673.45744922366	1677.2425328293	1705.13861225044	1786.499228816	1801.20356973957	1834.7841457479	1857.18858191655	1923.00497481031	1937.83223066888	1988.62150491323	1451.00968184898	2232.81807876389	2247.35277131742	2438.32057565348	2571.50426609502	2931.56266925149	3031.21507493834	3087.57631890155	3292.25956680868
"Diego de Almagro"	875.406366862413	806.530830437661	680.517439284578	678.76855570719	600.135312103945	409.49502809323	450.599052767288	464.360894316506	448.612458906973	476.081345592368	365.799428269258	304.454827464483	115.712125529934	0	109.818281172701	113.822324132235	125.558662750077	254.500587555404	260.49960265284	325.52072681934	910.08357437138	412.537984603252	409.808181435418	418.126986662501	482.550870526549	542.837930623147	594.927876906712	608.306456983887	817.810889551732	757.889664381244	754.425357900157	733.290690030673	686.942702681996	712.415590636786	720.280711344866	789.541711066539	806.410983063931	869.884507509676	917.372976417887	964.146938062041	1021.95234397444	1063.17016163251	1087.95045737076	1126.75208116678	1154.06039638603	1021.5654875607	1186.47245662837	1197.13999533007	1221.1295390544	1227.5385357399	1273.58094511527	1294.80975000526	1270.10284666894	1252.19299224816	1294.2075158733	1307.97550993691	1337.16792828868	1402.69287556647	1402.07251677937	1394.54554606961	1449.81402361806	1465.32960599715	1458.49829816828	1521.91959182362	1520.86327215748	1573.14478798121	1576.5084345639	1604.83711228298	1685.23620509427	1699.70100097159	1733.67793711316	1757.8347830071	1823.04392437423	1837.9054865535	1887.87500481393	1345.97699371667	2129.17852488258	2142.52458756638	2333.92029714439	2466.85291017842	2826.25991904025	2924.63667183879	2980.42819518144	3182.31749209603
"Caldera"	954.498200888506	887.181633229757	761.642761774795	763.353466931569	686.741909392841	516.670048198948	548.656389332178	561.900420800739	537.706020714484	557.471505977897	443.054101066057	382.687813690464	189.091095507726	109.818281172701	0	58.2277851213963	70.9734344479487	166.978816365291	160.331800500982	225.797229724429	820.515194589557	329.24318872446	317.390686166602	324.510546253877	393.106336655741	457.353583937634	508.117484224613	523.929335064999	729.931897182313	669.082388819426	666.273647666283	647.410970280138	600.688311673894	631.720493499827	640.865363617216	709.640454018955	726.254285516288	789.575302919298	835.257701730549	880.460665237805	935.813234096247	977.873806004275	998.563756684925	1036.64988483723	1066.53170943312	930.792051118202	1094.10663387153	1105.22932942169	1128.98807076267	1135.47484429177	1181.24751138055	1201.38238507513	1183.96388190713	1164.2278221705	1204.9580759045	1220.15316006151	1249.99846814244	1312.4680907442	1312.71778270338	1306.75087565734	1363.91848363752	1377.86335129141	1368.62069652534	1432.46886208278	1433.00487255634	1484.68756907224	1488.56075252771	1516.3618621102	1597.92574536884	1612.69088484293	1646.16365008197	1668.24284967252	1734.14187312584	1748.96219502851	1799.89870944249	1264.14439168875	2044.97102848502	2060.07954358199	2250.78863033144	2384.07724310523	2744.43790987067	2844.90267245414	2901.69033844163	3109.24868562793
"Copiapó"	985.200315668662	916.855755543096	790.88395404166	790.324038418407	712.218545709182	519.878314390646	564.419453721933	578.182679738082	561.168793981848	586.192848717025	473.819496054966	412.57709612956	218.326396750774	113.822324132235	58.2277851213963	0	14.5985638436573	140.726417922336	150.661860908843	214.224196693721	796.463481890064	299.387086928612	296.066357718225	304.488469640923	368.771381352353	429.558408807357	481.499929175124	495.315838557665	704.372731806918	644.304110752895	640.91955963109	620.131570414057	573.681736988318	600.453837362039	608.705139778636	677.901465214786	694.711704187344	758.198966938825	805.209171608462	851.607760318082	908.898571293052	950.306623013385	974.392686903313	1013.11941374328	1040.7923954583	907.85307747482	1072.67688005106	1083.36756767242	1107.3463834343	1113.75982047835	1159.79150485522	1180.98921069859	1157.12707323813	1138.87426346875	1180.704111953	1194.69180753871	1224.00591006442	1289.08319614115	1288.57030186666	1281.28245512282	1336.93047920237	1352.13666492165	1344.93546095072	1408.41886188888	1407.60919926274	1459.79746234445	1463.24665934045	1491.49076053108	1572.10432343774	1586.62895003324	1620.51384016065	1644.33749623685	1709.65262764035	1724.50912671648	1774.64347337184	1234.09639883801	2016.79863746662	2030.62919357015	2221.85157452387	2354.89796945129	2714.61755451113	2813.6726380879	2869.81233049592	3073.93327060464
"Tierra Amarilla"	998.530964293092	930.076874155237	804.083701476169	803.240943387647	724.969369770897	529.162379175268	575.850072338995	589.682766883797	573.733771650563	599.409434978987	487.333335758306	426.046536178873	232.057641665458	125.558662750077	70.9734344479487	14.5985638436573	0	130.037482340783	143.628668265163	205.890778062151	784.545571221364	287.014988361674	285.237088200709	293.880041933163	357.192907448865	417.295849536485	469.369623383682	482.852981956338	692.253209827205	632.343999996118	628.867826092919	607.785886652012	561.40933888149	587.521390732695	595.642360455186	664.867223647712	681.698341543575	745.186659116199	792.36943956668	838.927436720502	896.491714350455	937.790470681263	962.396423603781	1001.21595724037	1028.53321153171	896.076391779988	1061.1034879562	1071.71976658151	1095.72949523559	1102.12930919755	1148.19398025439	1169.5653177288	1144.6781280528	1126.65479903869	1168.64893558085	1182.44574057556	1211.67365511806	1277.14770963598	1276.5138865894	1269.02163595577	1324.43262330205	1339.82652704955	1332.94375472263	1396.36093392838	1395.34260572903	1447.60237790974	1450.98600525108	1479.29501050912	1559.75517751186	1574.24221362741	1608.1860998652	1632.27613860488	1697.49451216028	1712.35533597247	1762.36262254538	1221.17241940693	2004.07352355395	2017.72503463991	2209.00958421383	2342.01728385305	2701.63820652708	2800.50479960086	2856.56033883023	3060.26729239083
"Vallenar"	1120.75344588955	1053.08271030845	927.332207392439	928.051781765368	850.604646712101	658.830294961717	705.081015223175	718.809795268863	700.2220764609	722.812840029182	609.025985701016	548.257384561318	353.6567509138	254.500587555404	166.978816365291	140.726417922336	130.037482340783	0	46.3085620821382	82.936201490191	656.638539038726	162.300581978309	155.343465308712	163.860825753315	228.609314558673	291.139529230495	342.489636832757	357.516936117578	565.074394545029	504.645761726751	501.48806663626	481.62501929958	434.983451546053	464.810526056776	473.892655767573	542.703529742578	559.339625085614	622.694479422712	668.635917450286	714.199031674597	770.357448361117	812.13926528995	834.679506489058	873.207823921561	901.724661868347	767.737318132527	932.26033284076	943.03927793519	966.977445153895	973.406949485698	1019.39552602049	1040.42415164646	1018.62246577033	999.665765944445	1041.07679508069	1055.54305621621	1085.10179239993	1149.19014243956	1148.92788126567	1142.15564128032	1198.54338073889	1213.13720596821	1205.14700175894	1268.76343511905	1268.4745841688	1320.46277933867	1324.08641156343	1352.15337133326	1433.18253964844	1447.82012511959	1481.52147317015	1504.66482290136	1570.19636490967	1585.04100256782	1635.49888785664	1097.62156060914	1879.16138946769	1893.81209342436	2084.70527845259	2217.91790232406	2578.09112206169	2678.20642677849	2734.87899294687	2942.3376662601
"Huasco"	1112.60284887482	1045.83521542924	920.604394770921	923.041557104101	846.794474457524	669.509589563567	708.000413702965	721.399030614061	698.021777263226	716.885920507877	602.022897153107	542.132282870783	349.324398644979	260.49960265284	160.331800500982	150.661860908843	143.628668265163	46.3085620821382	0	65.5904200160137	661.352874717999	179.594785034724	159.079881812123	165.371045213274	235.785581625585	302.128762168599	351.408905917711	368.777890810975	571.626183846674	510.51100448294	508.013546519109	490.429009186479	443.716372357475	478.355727677739	488.420707228337	556.296641696658	572.618833621145	635.490546430416	679.79442138292	723.925916100854	777.897137159183	820.288702273371	839.278720491274	877.117395456181	907.852352748443	771.141423357764	934.026616355977	945.228664910263	968.937578782233	975.436546430167	1021.15123968511	1041.13734527449	1025.73690934471	1005.30212602443	1045.58090138125	1061.23948251348	1091.30469060628	1152.77438979092	1153.25896057988	1147.79336150964	1205.64741659529	1218.98223528941	1208.99714147616	1272.93848473606	1273.96110948671	1325.42911136299	1329.46334584758	1357.08628574549	1438.99880020875	1453.8627282697	1487.14989178678	1508.61086297552	1574.67802343535	1589.48344816997	1640.68980758959	1107.91357373026	1887.06313693531	1902.94437793537	2093.27253769344	2226.67700355866	2587.37030456851	2688.81463325511	2746.09915360714	2956.87138370829
"Chanaral"	1176.59044616744	1110.11064952996	985.065148767312	987.898781987612	911.898383650043	733.964011384757	773.572854280995	786.98103537686	763.39199976276	781.632938522661	666.601192829663	606.958833312395	414.64385644218	325.52072681934	225.797229724429	214.224196693721	205.890778062151	82.936201490191	65.5904200160137	0	597.327884979063	129.646995072739	98.2965445241503	102.961937346886	174.876325550133	242.620309086268	290.137045006308	308.771156357728	508.392539056944	447.129109812358	444.903076620172	428.407042958706	381.830313250147	419.152697225746	429.843921396813	496.800423835143	512.865545572557	575.260324034994	618.52861126031	661.851866438004	714.783058676888	757.385926883662	775.076202974354	812.694570768033	844.105078204666	706.639270328056	869.067266389654	880.354579178211	904.007721674545	910.519301494216	956.165966447087	975.959017312459	962.279085896184	941.338140411351	981.254160630192	997.270833850212	1027.4919244605	1088.16739876068	1088.848923968	1083.77346153479	1142.10764470855	1155.00568262625	1144.44401579735	1208.4557578553	1209.85554982485	1261.15483885165	1265.31009987539	1292.79524583094	1374.9564160864	1389.8891567431	1423.03917256523	1444.02510900574	1510.22200778175	1525.01474535013	1576.42197354758	1045.75663067016	1823.65590295142	1840.01844493917	2030.09017059559	2163.55328954671	2524.41785295288	2626.42588827465	2683.98822087732	2896.4929988908
"Pichilemu"	1773.87280607593	1707.18777917775	1581.9100708532	1583.84896214265	1506.91027390646	1303.82411020652	1360.09588078339	1374.02153509201	1356.83016936619	1377.95907008069	1263.29396977372	1203.16598367561	1009.32141436872	910.08357437138	820.515194589557	796.463481890064	784.545571221364	656.638539038726	661.352874717999	597.327884979063	0	498.052885013284	503.127916512731	496.129032917225	428.050004042289	367.893122363233	315.468150238288	304.362455931796	93.9409830223518	152.224793669537	156.026941867759	180.313650068836	224.841982920051	216.595690843889	215.704987632943	160.695860719514	147.941832484258	118.105935219292	95.2104250654109	96.3355022517727	123.26296982854	166.572748153895	178.079109531563	216.670950580945	247.039157225837	112.329947838272	278.772962296022	288.486425850715	312.720205575072	318.959327439451	365.196417766619	388.565241057738	365.835726881631	344.010283063456	384.500939853225	399.943189165952	430.23573970663	492.619714953921	492.324075412185	486.460851832883	545.23892179755	557.680519619457	548.5138702855	612.143729502527	612.608254343306	664.173225716034	668.117643758089	695.846714221004	777.660419648825	792.565765457871	825.797062885513	848.032193115891	913.691908351974	928.523673454492	979.399769740353	455.893544954764	1226.7975835261	1244.28538453286	1433.62785621059	1567.18696628681	1928.36686575524	2031.97220716043	2090.47125335651	2310.45953125405
"Vicuña"	1282.82881741234	1214.99035297871	1089.15605295431	1089.35136878856	1011.49099904509	807.925804627823	862.079520137376	876.030563229567	860.552625477598	884.535257446451	771.063714090506	710.168203768902	515.461900151253	412.537984603252	329.24318872446	299.387086928612	287.014988361674	162.300581978309	179.594785034724	129.646995072739	498.052885013284	0	51.1959719347877	58.7510286556592	76.3879448813452	130.327149350619	182.598154247364	195.944536590215	405.382400327094	345.84397989519	342.143603379082	320.774399715321	274.406261556175	302.511752401696	311.640015390893	380.404849134853	397.039462807358	460.402593771799	506.537112243035	552.461034816197	609.515697622742	650.940234467582	675.671304185691	714.676020904604	741.522925067767	609.926237699322	775.560429409768	785.898273052958	810.004582277742	816.352618229415	862.511693714094	884.557930953807	857.739993973869	839.657317285039	881.802141197449	895.437608522693	924.663450598217	990.48874678482	989.657630036178	982.009495381894	1037.55069408159	1052.81269887199	1046.17884534442	1109.49591779373	1108.32913889569	1160.61228041798	1163.97326332879	1192.3041822323	1272.75127071755	1287.25605799456	1321.17595431534	1345.39724739315	1410.52358427199	1425.38720897002	1475.34767625581	935.555020161851	1717.63834464241	1731.90321872286	1922.93631985439	2056.08167027785	2416.10095640325	2515.98433331841	2572.60149946531	2780.33371407405
"La Serena"	1271.3362187334	1204.33412198771	1078.92063072305	1080.72341484078	1003.89640908586	813.089403180438	860.337527633896	874.032427520803	854.175570740942	874.853535506022	760.296301905449	700.063391948615	506.23529088529	409.808181435418	317.390686166602	296.066357718225	285.237088200709	155.343465308712	159.079881812123	98.2965445241503	503.127916512731	51.1959719347877	0	10.7686193258533	76.8740814499975	144.329051407047	192.474559706001	210.585345699292	412.770549875925	351.78235907286	349.124689636472	331.362240282834	284.660601297847	320.877552167838	331.548442704102	398.57606953089	414.692583920053	477.227442586636	520.96576947395	564.871005745929	618.935223225195	661.25916735253	681.185397721778	719.352352584113	749.235310690066	613.591991840974	777.526121635787	788.453609690064	812.317297689098	818.772539079941	864.67958523662	885.417233819407	866.899693965943	846.86375966668	887.590528462465	902.79349218994	932.706583053602	995.246027851469	995.369256678863	989.384207526325	1046.83832241597	1060.51620011439	1051.34558674146	1115.1423088297	1115.62572081165	1167.29831032889	1171.17569383096	1198.9734910022	1280.57194006129	1295.36464997214	1328.79223496087	1350.95687659596	1416.78306162076	1431.6074802049	1482.5082302095	948.860906021072	1728.15089627148	1743.88986111518	1934.27327120724	2067.65990933374	2428.31534589739	2529.74649474878	2587.07266447783	2798.61030359492
"Coquimbo"	1277.9539658027	1211.10413152372	1085.78436026426	1087.8486708236	1011.20178950198	822.158939988046	868.534471876361	882.190692217834	861.708186436689	881.860297598032	767.16562397984	707.068929344248	513.509320980589	418.126986662501	324.510546253877	304.488469640923	293.880041933163	163.860825753315	165.371045213274	102.961937346886	496.129032917225	58.7510286556592	10.7686193258533	0	72.1701808822505	140.356748621096	187.176407670507	206.062638036638	406.264064300007	345.140158521439	342.664041152398	325.575290824257	278.950806756133	316.608051398166	327.565642881899	394.089305600111	410.073737775866	472.353981939351	515.581818954322	559.072385861383	612.56608975559	655.018961917564	674.129983479941	712.145169800389	742.505397236034	606.283723103238	769.879810813217	780.891507029597	804.710315502205	811.17940564639	857.034138101723	877.573688829656	860.366799595489	840.011864537576	880.496045195862	895.947913361966	925.965559307101	987.959811793534	988.233072203145	982.517618653442	1040.27639706365	1053.6866997364	1044.1106207183	1107.96980520495	1108.7180097074	1160.28190666636	1164.2421406596	1191.9488558107	1273.72128734071	1288.55916407517	1321.9010434737	1343.73312064505	1409.66160997021	1424.47802069803	1475.52361896669	943.031786775266	1721.70096303026	1737.69549942018	1927.94988630713	2061.36982746971	2422.1179155209	2523.82236860788	2581.27606435192	2793.53309687896
"Ovalle"	1347.4756392464	1280.28042554627	1154.7444873552	1156.11821942267	1078.95875375523	881.929779597322	933.041399300491	946.861676104072	928.780557537046	950.484602742556	836.159841650805	775.736019356052	581.531105121889	482.550870526549	393.106336655741	368.771381352353	357.192907448865	228.609314558673	235.785581625585	174.876325550133	428.050004042289	76.3879448813452	76.8740814499975	72.1701808822505	0	68.3273744788577	115.633756414292	133.924160574883	336.860361537879	276.172239164241	273.209476207267	254.699366506495	207.968895557503	244.439648418052	255.418515963701	321.962746865287	337.994259642703	400.414015635472	444.103837041966	488.159962507742	542.731968008158	584.897311494292	606.109835804876	644.599195938819	673.517171976101	539.15346247244	703.926165093187	714.596206315359	738.579072218411	744.989933641013	791.030489216368	812.391769658869	790.857974631916	771.330587761303	812.522002657392	827.236322917326	856.965897568126	920.58112044707	920.36290420397	913.847645772245	970.812517586253	984.903147653013	976.547026086927	1040.19049486675	1040.14315300026	1092.01373694701	1095.73284948665	1123.70062056217	1204.96859078736	1219.68347746916	1253.25491625367	1276.08219241347	1341.67982040154	1356.51937555681	1407.12761462862	872.14045323789	1651.93964523079	1667.41101584166	1857.91530229296	1991.26533308915	2351.82821327788	2453.05591095267	2510.31371837771	2721.75808255154
"Combarbalá"	1411.75852603092	1344.19413032061	1218.46574304456	1219.09163018296	1141.43134862713	936.787399042241	992.361023761211	1006.32539778146	990.659617401106	1013.95144380874	900.096951959817	839.384287636743	644.795019337759	542.837930623147	457.353583937634	429.558408807357	417.295849536485	291.139529230495	302.128762168599	242.620309086268	367.893122363233	130.327149350619	144.329051407047	140.356748621096	68.3273744788577	0	52.5321409004927	66.6994477242326	275.06350290288	215.76630871383	211.904206931261	190.613447454646	144.124399682637	176.562680506019	187.264287139292	254.344327988239	270.561573381625	333.361811344035	378.063903114276	423.131496256111	479.413336813889	521.04394508426	545.381347275177	584.451653217502	611.246730415503	479.916717147503	645.815917132006	656.00216530753	680.150599491563	686.469992051731	732.663130511146	755.053682596021	727.678520721432	709.359029799363	751.478996654722	765.155074089386	794.449985942083	860.20611056908	859.332828898354	851.737365188756	907.552539274481	922.578299919467	915.868278386186	979.170000732555	978.061833448915	1030.30744403775	1033.70243454945	1061.99992760529	1142.55105564082	1157.09419735416	1190.95597950467	1215.07031479912	1280.20844528006	1295.07100105092	1345.09152574995	806.810461173862	1588.02376229994	1602.77005333151	1793.59220727134	1926.82907396564	2287.10238870794	2387.65464620322	2444.62524837999	2654.76432222755
"Illapel"	1462.61359185691	1395.23807087884	1269.59585562263	1270.53809466347	1193.05218409811	989.308293502535	1044.67536508372	1058.62106145922	1042.45219907889	1065.18232810553	951.100740175675	890.51755209276	696.061965762672	594.927876906712	508.117484224613	481.499929175124	469.369623383682	342.489636832757	351.408905917711	290.137045006308	315.468150238288	182.598154247364	192.474559706001	187.176407670507	115.633756414292	52.5321409004927	0	24.52079368954	222.885064162105	163.289057671249	159.550407992965	139.295452284616	92.571669077896	131.582507075415	143.801814851533	207.837283767501	223.4760259848	285.316990113335	328.497435317742	372.604236917081	427.879560888282	469.781596241951	493.092507673646	532.078362539763	559.350174947622	427.430375233139	593.289768356831	603.494194157027	627.63642110738	633.960225213157	680.148860838504	702.521898382302	676.137133360329	657.389658144024	699.28580860232	713.226076834464	742.664465414781	807.900779849302	807.149124428529	799.827716378051	856.066331503932	870.743110350007	863.620482561892	926.994830106801	926.155693091954	978.299352949509	981.785605991922	1009.99266880882	1090.76334887709	1105.36610342159	1139.13241019743	1162.90826671322	1228.15517792412	1243.01277361319	1293.19477975901	756.558812140974	1536.88207300946	1552.04517200148	1742.67790810464	1875.98380732484	2236.44255826795	2337.48476511797	2394.69860479391	2606.35669113722
"Salamanca"	1478.24461695193	1410.59678889036	1284.82743737327	1285.24187046557	1207.43159161704	999.463204622141	1057.17167318448	1071.19344766028	1056.48456947618	1080.26479809048	966.53877040167	905.765958436733	711.121261442468	608.306456983887	523.929335064999	495.315838557665	482.852981956338	357.516936117578	368.777890810975	308.771156357728	304.362455931796	195.944536590215	210.585345699292	206.062638036638	133.924160574883	66.6994477242326	24.52079368954	0	210.775522032151	153.317113733256	148.644722199195	125.155002680011	79.5205189262442	110.638064229429	122.094469334166	188.038916460135	204.1078693194	266.741216810849	311.391662666102	356.685681757129	413.646114687163	454.996330907578	481.004324787513	520.383304122923	545.904159072122	416.669486872067	583.00226925801	592.844657022421	617.069178781099	623.318846528322	669.554279894497	692.608515817055	661.828163425252	644.106374548268	686.705325400166	699.81488424236	728.881241959635	795.744029507493	794.502619214289	786.344374741027	841.614675791328	857.056231442185	851.204387589539	914.291778978153	912.640481956225	965.055962195587	968.290373582646	996.742331496204	1076.93298325185	1091.39631367469	1125.38322347504	1150.12423083233	1215.01462002435	1229.88571796284	1279.61498243327	740.215400340071	1521.76703516308	1536.29793675062	1727.20126782726	1860.40269649122	2220.59523534341	2321.01518317797	2377.95015419916	2588.1701506517
"San Antonio"	1684.10669581733	1617.0588485931	1491.57286754385	1492.95160535353	1415.66876312994	1210.16771746559	1267.41141509366	1281.38339850736	1265.22632641044	1287.34393596073	1172.96790732543	1112.58979030464	918.371628925392	817.810889551732	729.931897182313	704.372731806918	692.253209827205	565.074394545029	571.626183846674	508.392539056944	93.9409830223518	405.382400327094	412.770549875925	406.264064300007	336.860361537879	275.06350290288	222.885064162105	210.775522032151	0	61.3547539056013	63.6586866262532	86.3728427968112	131.317354015806	125.633132118798	127.109299261694	88.9798907632624	84.2811121800629	102.340861644366	123.070477982639	157.222624777451	206.395372890602	249.138936892589	270.364139986609	309.625453541603	336.676185027189	206.210484509052	372.683414874598	382.279108848441	406.535329960777	412.74174491484	458.980473155343	482.501551448789	454.131450951887	434.594978197001	476.421283951107	490.468679994115	520.10950960452	585.18430052553	584.279850701275	577.081419099697	634.067776196105	648.083471766352	640.807018889915	704.122068367328	703.400449489339	755.451321044435	759.014685733316	787.14428844983	868.142278886879	882.831945705658	916.458502355419	940.031252894368	1005.28088391632	1020.13671482613	1070.42840885759	538.559147037603	1315.43748517069	1331.63597459035	1521.72807750204	1655.17437215407	2016.02732096313	2118.34984183939	2176.23375594959	2392.4736950113
"Valparaíso"	1623.07243795312	1556.11646396737	1430.6882732109	1432.26455008625	1355.12867071404	1152.22661741433	1207.87156963304	1221.79677037626	1204.86761387672	1226.54389002499	1112.06760567773	1051.76809711421	857.679473478665	757.889664381244	669.082388819426	644.304110752895	632.343999996118	504.645761726751	510.51100448294	447.129109812358	152.224793669537	345.84397989519	351.78235907286	345.140158521439	276.172239164241	215.76630871383	163.289057671249	153.317113733256	61.3547539056013	0	7.8055105358845	38.5022377559653	74.4405697610254	90.4023051991716	98.3205796091179	99.3489435361742	105.321304455007	149.086074198126	180.068928929342	217.70113315343	267.70629931328	310.491481464712	330.092655404345	368.888055910695	397.457970592591	264.150433264113	430.153094493577	440.254133970327	464.418132844671	470.725256202328	516.92951930635	539.570391586916	515.235521210706	495.176268442927	536.449740369808	551.091437927939	580.928953752518	644.803805113806	644.309791801018	637.698332589112	695.136665679969	708.785978627176	700.631419588295	764.153996775991	763.982380433061	815.846971861065	819.565911948584	847.535017485307	928.851036735531	943.608818884627	977.112035797576	1000.06823622228	1065.55088024787	1080.39524958126	1130.95649184751	599.859788825373	1376.59554939853	1392.93443688061	1582.96282577223	1716.42427815107	2077.31328935667	2179.70025527061	2237.587978477	2453.57185267509
"Viña del Mar"	1620.45991663952	1553.4011888124	1427.91430736581	1429.31411482342	1352.06398135202	1147.9472139169	1204.22309297133	1218.17105130899	1201.67521432062	1223.69004658808	1109.30924228203	1048.93375777518	854.730629345947	754.425357900157	666.273647666283	640.91955963109	628.867826092919	501.48806663626	508.013546519109	444.903076620172	156.026941867759	342.143603379082	349.124689636472	342.664041152398	273.209476207267	211.904206931261	159.550407992965	148.644722199195	63.6586866262532	7.8055105358845	0	30.9953149812157	69.3135270563045	82.6529657479148	90.5156289506461	93.6632976547966	100.545809291922	146.826521095932	179.686739383383	218.586031065835	269.912254157184	312.491373280758	333.546700537346	372.548677457082	400.311946202968	268.207578051749	434.423403748834	444.37885361432	468.5767913844	474.854603730781	521.078770344816	543.977058451456	517.775264552414	498.183307538421	539.789125924912	554.071437996017	583.756471831965	648.35045194463	647.655391384303	640.685028559695	697.716780358313	711.710120248605	704.084556180075	767.503890427093	766.996791378579	818.987397351822	822.602910885718	850.679241815139	931.772765212132	946.47546155383	980.076741004669	1003.42206831668	1068.77341592077	1083.62486889643	1134.01340797019	601.455795703358	1379.0534686261	1395.12097867736	1585.29217771275	1718.72307018906	2079.5287924719	2181.65237982063	2239.41985081008	2454.74199538897
