101100;2
102100;2
103100;2
103101;2
103102;1
103103;1
103104;1
104100;2
104101;1
104102;1
104103;3
104104;1
105100;2
105101;2
105102;2
105103;3
105104;1
105105;1
105106;1
105107;1
105108;1
106100;2
106102;2
106103;2
106104;5
106105;1
107100;2
107101;2
107102;2
107103;1
107104;1
107105;1
107106;1
107107;1
107108;1
107109;1
107110;1
108100;2
108101;2
108102;1
108104;1
108105;5
109100;2
109101;4
109102;5
109103;2
109104;1
110100;2
110110;2
110120;2
110130;3
110140;3
110150;2
110160;1
111100;2
111101;2
111195;2
112100;2
112101;2
112102;4
112103;2
112104;2
112105;4
112106;2
112107;1
113100;2
113130;4
113150;3
113160;3
113170;5
113180;2
114101;2
114102;3
114103;2
114105;2
115100;2
115101;1
115102;1
115103;1
115104;3
115105;1
115106;1
115107;2
115108;1
115109;1
115110;3
115111;1
115112;1
115113;1
115114;1
116100;2
116101;1
116102;1
116103;1
116104;1
116105;2
116106;1
116107;3
116108;2
116109;1
116110;3
116111;3
116112;1
117101;2
117102;2
117103;1
117104;1
117106;1
117107;1
117108;1
118100;2
118103;3
118105;2
118106;2
118107;1
118108;1
119100;2
119101;2
119102;1
120101;2
120102;1
120103;1
120104;1
120105;1
120106;1
120107;1
121109;2
121110;3
121111;1
121112;1
121113;1
121114;3
121115;1
121116;1
121117;3
121118;1
121119;1
121120;1
121121;3
121200;1
121201;1
122100;2
122101;1
122102;1
122103;1
122105;1
122106;1
122201;1
123100;2
123101;1
123102;1
123103;1
123104;1
123105;1
124105;2
124110;1
124115;1
124120;1
124125;1
124130;1
124140;1
124145;1
125100;2
125101;1
125102;1
125103;1
125104;1
126100;2
126101;3
126102;1
128109;3
128110;1
128111;1
128112;1
128113;1
129100;2
129101;1
129103;1
129104;3
129106;2
129107;1
129108;1
133150;2
133155;3
133160;1
133165;1
133170;1
